person_uuid,org_uuid,job_uuid,started_on,ended_on,is_current,title,job_role,executive_role,advisory_role
00078a76-76f8-3bf9-82dc-9daf5f68cfa6,6a616ad3-1628-16de-a621-938874b64399,9d10abb8-9145-5cb8-d979-f5617f046eb4,2013-09-01 00:00:00,,t,COO at ZIP,t,t,f
000b0575-8e34-adf7-3d72-ec4fbd324a85,568b48b2-3f1e-4bd9-6921-b6d2e712fd20,a7c0bd6b-85ee-2955-37e9-58da65f03a72,2008-01-01 00:00:00,2011-01-01 00:00:00,f,Consultant,t,f,f
00065f25-101a-bfe2-d79c-a172af342c70,a1102c6c-1bc4-b6aa-c5f2-6c34bd4b2370,5b17a461-1727-b142-0586-9864e12832fd,2013-01-01 00:00:00,2014-01-01 00:00:00,f,CTO & Co-Founder,t,t,f
00065f25-101a-bfe2-d79c-a172af342c70,6663f9d3-e6ab-348f-66c7-cafc00ce01a8,31b9c4b2-6edd-7679-c7a2-168c4603b028,,,t,Founder & CEO,t,t,f
000407db-3ad5-2703-a4cb-3db0749dfb99,cc09a515-3e15-bfc6-c88a-843648c9436a,8d6872df-3948-2cd7-7f16-9515cd0591f9,2014-12-01 00:00:00,,f,Chief Customer Officer,t,f,f
0002b103-5086-f3af-a977-b1b22bb27f7f,afc8d4ee-5c42-dee7-067f-226c251959b0,1f1286fc-6d3f-f378-abf8-f3e175cf23de,2007-04-01 00:00:00,2009-06-01 00:00:00,f,Senior Vice President and General Counsel,t,f,f
0002b103-5086-f3af-a977-b1b22bb27f7f,afc8d4ee-5c42-dee7-067f-226c251959b0,45e4b326-2c0e-c175-899a-aea58bdbff87,2009-06-01 00:00:00,2010-06-01 00:00:00,f,Senior Vice President and General Manager,t,t,f
0002b103-5086-f3af-a977-b1b22bb27f7f,9a0f7b9f-9432-4ed6-9452-a6bc7a520ce3,ed8ef140-6f6c-aa81-7d9a-8f07ea3067e8,2002-07-01 00:00:00,2007-03-01 00:00:00,f,Vice President and General Counsel,t,t,f
000bf484-87e2-4226-262d-8c026662fbef,162eca7e-8489-2ece-3e09-f9a5a3f50c17,d52d7bf5-4b6e-6586-1eee-805ad4af1120,2015-03-01 00:00:00,,t,Trainee - embedded software,t,f,f
000e933b-56f0-1c0f-4d1c-12ae09c1346f,41d9cf05-3e4a-b824-5daa-83fe39a0551a,5c5ef556-3cba-6ac1-c5bb-853b5ed789e0,2014-10-01 00:00:00,,t,Founder,f,f,t
000e933b-56f0-1c0f-4d1c-12ae09c1346f,41d9cf05-3e4a-b824-5daa-83fe39a0551a,9295eba5-5b3f-a004-ea44-5a409c137ec3,2014-10-01 00:00:00,,t,CEO,t,t,f
0001e25a-349a-50e2-72fa-ab1168562871,3383f703-ac34-85b4-02c0-7c995c885977,f134f1b1-50bf-2386-4349-49944b92c294,2012-05-01 00:00:00,,f,Senior Web Developer,t,f,f
0008329b-aec7-45ab-7cea-18d420939fc9,af60484e-7eb0-7ff6-dec0-294eeddfb874,7ce3ed44-502b-9497-9e08-a4a474e0e6d2,2012-07-01 00:00:00,,t,Chairman,t,f,f
000e933b-56f0-1c0f-4d1c-12ae09c1346f,996af867-a1bb-cefa-2016-5c35d619eb34,5c7afab6-1ddb-069c-94f8-a1017af62c26,2012-10-01 00:00:00,,t,CEO,t,t,f
00027005-5db2-d40b-f877-d7a0fd6d288c,ade0af0c-26f9-9e84-ba37-d91e5d509520,9909c307-fe5c-616a-8c33-adb7a958369b,2011-08-01 00:00:00,,t,Show Host,t,f,f
00027005-5db2-d40b-f877-d7a0fd6d288c,cc948714-b193-8f79-4efc-f2524fd3b69e,e03d481d-cf56-b769-5773-3fb67d8706f2,2011-10-01 00:00:00,,t,Teacher,t,f,f
000d67ea-22f2-f543-f29b-9275f1f402ce,b7abac4e-e8cc-18fa-8c6e-b3119e652053,541a37f0-acd5-fe68-fb3f-4b8e8b9417ec,2011-07-01 00:00:00,,t,Co - Founder & Chairman of the Board,t,f,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,a8708f75-09ed-35f3-b346-272131dc977f,f2d71590-f7d9-ed3f-6169-3c7d66f21802,2008-08-01 00:00:00,,t,Founder/President/CEO,t,t,f
000c0818-d1d0-448d-1f6a-e561c10334d7,5275a250-802a-80e6-1172-4288bd5ccf40,6fcae8de-909c-d3c5-7bc4-9fbdadb71c32,2009-06-01 00:00:00,,t,"VP, Sales - Americas",t,t,f
000f8b65-82fb-8753-9e6c-a84fd41cbd75,16fb3387-bbf7-d582-a4e9-92125b771678,46403446-9a38-6804-b9a7-e3c4fb138a09,2011-09-01 00:00:00,,t,CTO,t,t,f
00086d8c-20e6-7c59-aad0-55e8ddd768d2,ce98a706-261e-426e-fa2c-0e540fbe47a1,c9ea9f52-a1af-0520-e5e9-3da9a35bd118,2011-10-01 00:00:00,,t,Board of Directors,f,t,t
000bd510-3700-238a-ec09-85f5211150f5,157f16fd-5e58-3f42-03a8-d4a14f76b4e9,fedcf52d-92e8-8a7d-a42d-d1cc8b2b19f7,2004-07-15 00:00:00,,t,General Service Manager,t,t,f
000ec1c0-05c4-451e-c622-fa1cabaefa4e,0d019c21-a294-7bbc-9d4a-d0517892ad98,2ede5551-0c10-d255-fe41-4916b1233769,2011-01-01 00:00:00,2013-01-01 00:00:00,f,President / CEO,t,t,f
0009f5cb-b369-880a-9638-f4eece52f418,d4180d8b-c189-c227-8e7e-e274133023a4,167a89d9-4104-df8c-0017-5e26061bb8c1,2012-01-01 00:00:00,2012-01-01 00:00:00,f,Founder,t,t,f
0009ce3f-5b0a-2e2a-94be-7fcd86e9d020,c9be41cc-0b86-1871-4c3f-95cc3d3b4b18,d584ce2d-041d-7366-d8e3-b69052a6c1a2,2000-01-01 00:00:00,2011-01-01 00:00:00,f,Principal & VP Product Development,t,t,f
0009ce3f-5b0a-2e2a-94be-7fcd86e9d020,2c5155e0-cb9f-b12f-f273-5740ef38a910,47909ced-952d-de93-bf08-dfb0db9e5081,2002-01-01 00:00:00,2005-01-01 00:00:00,f,"CTO, VP Engineering & Product Management",t,t,f
0009ce3f-5b0a-2e2a-94be-7fcd86e9d020,d31d571e-e312-fd45-e044-6ff59af2bb55,e2273592-e74d-ab1e-fbe1-bd38859df639,2001-01-01 00:00:00,2002-01-01 00:00:00,f,VP of Engineering,t,t,f
000d67ea-22f2-f543-f29b-9275f1f402ce,bbdfde21-132b-318a-8ecc-f04c2f368409,4d41fac1-70dd-2dd2-4161-18fe0de64375,2010-01-01 00:00:00,2012-01-01 00:00:00,f,Director / Investor,t,t,f
000f8b65-82fb-8753-9e6c-a84fd41cbd75,af1cb234-2108-fc02-272a-5ade65278655,d0e5e398-a0cb-f95d-53a0-cd48dca0fc5a,2008-01-01 00:00:00,2011-01-01 00:00:00,f,Global Head of Persistent Analytics,t,f,f
000f8b65-82fb-8753-9e6c-a84fd41cbd75,b738c4f3-b88c-684f-1d9d-2a5cda4363c4,8f64e094-52e6-27e7-f502-8c81b739fdc1,1999-01-01 00:00:00,2008-01-01 00:00:00,f,Director of Engineering,t,t,f
000ec1c0-05c4-451e-c622-fa1cabaefa4e,d9c24f38-6086-b59d-85b7-d5ae8a86a645,cacbff8d-ed7b-2179-e786-35d025602146,1998-01-01 00:00:00,2000-01-01 00:00:00,f,COO,t,t,f
000ec1c0-05c4-451e-c622-fa1cabaefa4e,d9c24f38-6086-b59d-85b7-d5ae8a86a645,8daaf1fb-b788-4a68-fb1d-0d1abc6107d9,2000-01-01 00:00:00,2011-01-01 00:00:00,f,CEO,t,t,f
00086d8c-20e6-7c59-aad0-55e8ddd768d2,ca01f2b5-d280-cae7-8603-81609771c485,d149b8a7-05da-0196-fa02-ce7b2dda48bf,2006-01-01 00:00:00,2007-01-01 00:00:00,f,Managing Director,t,t,f
00086d8c-20e6-7c59-aad0-55e8ddd768d2,1e4f199c-363b-451b-a164-f94571075ee5,8ae7ad2f-688d-1b16-e101-46039e0cba26,2001-01-01 00:00:00,2005-01-01 00:00:00,f,Vice President of Intel Capital,t,t,f
0004aea3-ee6f-5531-558d-c8b50c3afb21,a371f950-8ed4-0b82-e42c-503a780fc67e,ae201bce-28e1-2b8a-72e1-7f6b333e1215,1993-01-01 00:00:00,,t,Partner,t,t,f
00016334-9af9-1bae-0737-b5c0e906fcad,0393ec59-73c7-c747-c97d-43455ff3adfb,ab8eb9bc-980a-02e3-abc6-b810d26ba595,2001-01-01 00:00:00,,f,EVP,t,f,f
000fcf27-3a2f-f2ab-2b4f-d7362f4451dd,a736d449-9ecb-ae36-3a44-965bf6e9be9d,6ba503a9-5fc4-7edd-78ee-d3e2643d5051,2004-01-01 00:00:00,,t,President and CEO,t,t,f
00016334-9af9-1bae-0737-b5c0e906fcad,0393ec59-73c7-c747-c97d-43455ff3adfb,1cb4d16f-314d-7a51-f7cc-6f74b970aca0,1987-01-01 00:00:00,,f,President - Canada,t,t,f
000e6034-9357-9c22-7a0a-4990fa2e85cc,accb9845-f5c4-ec91-dcd8-96b0e4924405,3f3657da-bb15-aa56-b7d5-89fd6dd808e7,2014-01-01 00:00:00,,t,Chief Product Officer,t,t,f
000d67ea-22f2-f543-f29b-9275f1f402ce,9df5e602-5a9f-0f72-2660-01db366574eb,89d95df5-7182-20f9-3f79-ed52e1538e49,2013-01-01 00:00:00,,t,Investor,f,f,t
00081d61-57bb-fc90-143e-bad90544b0c5,077d60d6-1885-0518-4162-9e827c9269b2,b662be3c-1826-14ab-ffc6-186a3b801ac9,2012-01-01 00:00:00,,t,Co-Founder,t,t,f
00012700-a202-530d-6f17-ded0c1060662,bf06a78c-10bf-ca21-4c09-f71fdb476500,64141a02-d52e-1a88-2538-a38290d96be2,2012-01-01 00:00:00,,t,Chief Operating Officer,t,t,f
0009f5cb-b369-880a-9638-f4eece52f418,e69bcb18-fb59-61b2-cab2-42fe9700421c,3b8affe5-f32b-4832-842b-8b71b6cb49b2,2012-01-01 00:00:00,,t,Executive Director,t,f,f
000d67ea-22f2-f543-f29b-9275f1f402ce,03efa4fa-e4ba-64b8-64a0-4170e077be84,8a075ccd-73e4-c9dd-5e6c-c3a4cb259909,2012-01-01 00:00:00,,t,Advisor,f,t,t
